Homolog.gene.primaryIdentifier,Homolog.gene.organism.shortName,Homolog.ortholog_gene.primaryIdentifier,Homolog.ortholog_gene.organism.shortName,Homolog.relationship
Potri.001G011000,P. trichocarpa,AT2G38380,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT2G38390,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT3G32980,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT3G49110,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT3G49120,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT4G08770,A. thaliana,many-to-many
Potri.001G011000,P. trichocarpa,AT4G08780,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT2G38380,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT2G38390,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT3G32980,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT3G49110,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT3G49120,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT4G08770,A. thaliana,many-to-many
Potri.001G011200,P. trichocarpa,AT4G08780,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT2G38380,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT2G38390,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT3G32980,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT3G49110,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT3G49120,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT4G08770,A. thaliana,many-to-many
Potri.001G011300,P. trichocarpa,AT4G08780,A. thaliana,many-to-many
Potri.001G011700,P. trichocarpa,AT1G51110,A. thaliana,one-to-one
Potri.001G011800,P. trichocarpa,AT5G19900,A. thaliana,many-to-one
Potri.001G011900,P. trichocarpa,AT3G07160,A. thaliana,one-to-one
Potri.001G012200,P. trichocarpa,AT5G13000,A. thaliana,many-to-one
Potri.001G012800,P. trichocarpa,AT2G18220,A. thaliana,one-to-one
Potri.001G013000,P. trichocarpa,AT2G38380,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT2G38390,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT3G32980,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT3G49110,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT3G49120,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT4G08770,A. thaliana,many-to-many
Potri.001G013000,P. trichocarpa,AT4G08780,A. thaliana,many-to-many
Potri.001G013300,P. trichocarpa,AT1G73240,A. thaliana,one-to-one
Potri.001G013400,P. trichocarpa,AT5G19640,A. thaliana,many-to-one
Potri.001G013500,P. trichocarpa,AT2G05990,A. thaliana,many-to-one
Potri.001G013600,P. trichocarpa,AT2G42150,A. thaliana,many-to-many
Potri.001G013600,P. trichocarpa,AT3G57980,A. thaliana,many-to-many
Potri.001G013700,P. trichocarpa,AT5G19630,A. thaliana,many-to-one
Potri.001G013800,P. trichocarpa,AT5G13020,A. thaliana,many-to-one
Potri.001G013900,P. trichocarpa,AT5G13030,A. thaliana,one-to-one
Potri.001G014000,P. trichocarpa,AT1G04640,A. thaliana,one-to-one
Potri.001G014100,P. trichocarpa,AT5G60900,A. thaliana,many-to-one
Potri.001G014400,P. trichocarpa,AT5G60900,A. thaliana,many-to-one
Potri.001G014600,P. trichocarpa,AT5G60900,A. thaliana,many-to-one
Potri.001G015000,P. trichocarpa,AT2G42190,A. thaliana,many-to-many
Potri.001G015000,P. trichocarpa,AT3G57930,A. thaliana,many-to-many
Potri.001G015300,P. trichocarpa,AT3G45140,A. thaliana,many-to-one
Potri.001G015400,P. trichocarpa,AT3G45140,A. thaliana,many-to-one
Potri.001G015500,P. trichocarpa,AT3G45140,A. thaliana,many-to-one
Potri.001G015600,P. trichocarpa,AT3G45140,A. thaliana,many-to-one
Potri.001G015700,P. trichocarpa,AT5G12970,A. thaliana,many-to-one
Potri.001G015900,P. trichocarpa,AT1G73730,A. thaliana,many-to-one
Potri.001G016000,P. trichocarpa,AT1G73730,A. thaliana,many-to-one
Potri.001G016200,P. trichocarpa,AT3G20810,A. thaliana,one-to-one
Potri.001G016300,P. trichocarpa,AT5G12890,A. thaliana,many-to-one
Potri.001G016500,P. trichocarpa,AT5G12890,A. thaliana,many-to-one
Potri.001G016600,P. trichocarpa,AT5G12900,A. thaliana,many-to-one
Potri.001G016700,P. trichocarpa,AT1G09200,A. thaliana,many-to-many
Potri.001G016700,P. trichocarpa,AT3G27360,A. thaliana,many-to-many
Potri.001G016700,P. trichocarpa,AT5G10390,A. thaliana,many-to-many
Potri.001G016700,P. trichocarpa,AT5G10400,A. thaliana,many-to-many
Potri.001G016700,P. trichocarpa,AT5G65360,A. thaliana,many-to-many
Potri.001G016800,P. trichocarpa,AT5G12920,A. thaliana,one-to-one
Potri.001G016900,P. trichocarpa,AT1G09200,A. thaliana,many-to-many
Potri.001G016900,P. trichocarpa,AT3G27360,A. thaliana,many-to-many
Potri.001G016900,P. trichocarpa,AT5G10390,A. thaliana,many-to-many
Potri.001G016900,P. trichocarpa,AT5G10400,A. thaliana,many-to-many
Potri.001G016900,P. trichocarpa,AT5G65360,A. thaliana,many-to-many
Potri.001G017000,P. trichocarpa,AT4G12070,A. thaliana,many-to-one
Potri.001G017100,P. trichocarpa,AT5G12930,A. thaliana,many-to-one
Potri.001G017300,P. trichocarpa,AT1G51140,A. thaliana,many-to-one
Potri.001G017500,P. trichocarpa,AT3G20820,A. thaliana,many-to-one
Potri.001G017600,P. trichocarpa,AT4G31980,A. thaliana,many-to-one
Potri.001G017900,P. trichocarpa,AT4G31980,A. thaliana,many-to-one
Potri.001G018100,P. trichocarpa,AT2G39725,A. thaliana,one-to-one
Potri.001G018200,P. trichocarpa,AT5G12950,A. thaliana,many-to-many
Potri.001G018200,P. trichocarpa,AT5G12960,A. thaliana,many-to-many
Potri.001G018300,P. trichocarpa,AT1G51170,A. thaliana,many-to-many
Potri.001G018300,P. trichocarpa,AT3G20830,A. thaliana,many-to-many
Potri.001G018400,P. trichocarpa,AT1G51190,A. thaliana,many-to-many
Potri.001G018400,P. trichocarpa,AT3G20840,A. thaliana,many-to-many
Potri.001G018500,P. trichocarpa,AT5G13070,A. thaliana,one-to-one
Potri.001G018600,P. trichocarpa,AT1G51200,A. thaliana,many-to-one
Potri.001G018800,P. trichocarpa,AT3G20870,A. thaliana,many-to-one
Potri.001G019000,P. trichocarpa,AT5G19620,A. thaliana,many-to-one
Potri.001G019500,P. trichocarpa,AT2G22410,A. thaliana,one-to-one
Potri.001G020300,P. trichocarpa,AT3G51950,A. thaliana,many-to-one
Potri.001G020700,P. trichocarpa,AT5G13470,A. thaliana,many-to-one
Potri.001G020900,P. trichocarpa,AT3G63440,A. thaliana,many-to-one
Potri.001G021000,P. trichocarpa,AT5G13460,A. thaliana,one-to-one
Potri.001G021100,P. trichocarpa,AT3G51940,A. thaliana,one-to-one
Potri.001G022500,P. trichocarpa,AT4G31560,A. thaliana,many-to-one
Potri.001G022700,P. trichocarpa,AT3G08550,A. thaliana,many-to-one
Potri.001G022900,P. trichocarpa,AT3G51930,A. thaliana,many-to-one
Potri.001G023000,P. trichocarpa,AT3G04040,A. thaliana,one-to-many
Potri.001G023000,P. trichocarpa,AT5G18250,A. thaliana,one-to-many
Potri.001G023200,P. trichocarpa,AT4G30880,A. thaliana,many-to-one
Potri.001G023300,P. trichocarpa,AT4G30880,A. thaliana,many-to-one
Potri.001G024000,P. trichocarpa,AT1G34570,A. thaliana,many-to-many
Potri.001G024000,P. trichocarpa,AT3G15750,A. thaliana,many-to-many
Potri.001G024100,P. trichocarpa,AT3G54570,A. thaliana,many-to-one
Potri.001G024200,P. trichocarpa,AT2G38780,A. thaliana,one-to-one
Potri.001G024300,P. trichocarpa,AT1G52340,A. thaliana,one-to-one
Potri.001G024500,P. trichocarpa,AT1G63780,A. thaliana,many-to-one
Potri.001G024800,P. trichocarpa,AT2G38760,A. thaliana,one-to-one
Potri.001G024900,P. trichocarpa,AT2G38750,A. thaliana,one-to-one
Potri.001G025100,P. trichocarpa,AT3G54500,A. thaliana,many-to-one
Potri.001G025300,P. trichocarpa,AT2G47110,A. thaliana,many-to-many
Potri.001G025300,P. trichocarpa,AT3G62250,A. thaliana,many-to-many
Potri.001G025500,P. trichocarpa,AT3G54490,A. thaliana,one-to-one
Potri.001G025600,P. trichocarpa,AT3G54480,A. thaliana,many-to-one
Potri.001G025700,P. trichocarpa,AT5G20710,A. thaliana,many-to-one
Potri.001G025800,P. trichocarpa,AT5G20710,A. thaliana,many-to-one
Potri.001G026000,P. trichocarpa,AT3G14180,A. thaliana,many-to-one
Potri.001G026100,P. trichocarpa,AT3G07300,A. thaliana,many-to-one
Potri.001G026300,P. trichocarpa,AT3G54470,A. thaliana,many-to-one
Potri.001G026400,P. trichocarpa,AT3G07940,A. thaliana,many-to-one
Potri.001G026600,P. trichocarpa,AT5G13810,A. thaliana,many-to-one
Potri.001G026700,P. trichocarpa,AT5G59560,A. thaliana,many-to-one
Potri.001G026800,P. trichocarpa,AT5G13480,A. thaliana,many-to-one
Potri.001G027100,P. trichocarpa,AT3G54450,A. thaliana,many-to-one
Potri.001G027400,P. trichocarpa,AT3G54440,A. thaliana,many-to-one
Potri.001G027700,P. trichocarpa,AT3G54430,A. thaliana,many-to-one
Potri.001G027900,P. trichocarpa,AT3G07960,A. thaliana,many-to-one
Potri.001G028000,P. trichocarpa,AT3G27890,A. thaliana,many-to-one
Potri.001G028100,P. trichocarpa,AT5G13500,A. thaliana,many-to-one
Potri.001G028200,P. trichocarpa,AT5G07030,A. thaliana,many-to-one
Potri.001G028300,P. trichocarpa,AT1G08315,A. thaliana,many-to-one
Potri.001G028400,P. trichocarpa,AT3G54390,A. thaliana,many-to-one
Potri.001G028500,P. trichocarpa,AT3G06730,A. thaliana,one-to-one
Potri.001G029300,P. trichocarpa,AT3G14470,A. thaliana,many-to-one
Potri.001G029500,P. trichocarpa,AT3G12600,A. thaliana,many-to-one
Potri.001G029600,P. trichocarpa,AT5G13530,A. thaliana,one-to-one
Potri.001G029800,P. trichocarpa,AT3G12250,A. thaliana,many-to-many
Potri.001G029800,P. trichocarpa,AT5G06950,A. thaliana,many-to-many
Potri.001G029900,P. trichocarpa,AT3G12260,A. thaliana,one-to-one
Potri.001G030000,P. trichocarpa,AT2G38730,A. thaliana,many-to-one
Potri.001G030100,P. trichocarpa,AT5G06970,A. thaliana,one-to-one
Potri.001G030200,P. trichocarpa,AT3G12270,A. thaliana,one-to-one
Potri.001G030600,P. trichocarpa,AT2G22590,A. thaliana,many-to-one
Potri.001G030700,P. trichocarpa,AT1G29940,A. thaliana,one-to-one
Potri.001G031400,P. trichocarpa,AT3G12280,A. thaliana,one-to-one
Potri.001G031500,P. trichocarpa,AT5G22130,A. thaliana,one-to-one
Potri.001G031700,P. trichocarpa,AT5G09860,A. thaliana,many-to-one
Potri.001G031800,P. trichocarpa,AT3G12320,A. thaliana,many-to-many
Potri.001G031800,P. trichocarpa,AT5G06980,A. thaliana,many-to-many
Potri.001G031900,P. trichocarpa,AT5G06990,A. thaliana,many-to-one
Potri.001G032000,P. trichocarpa,AT1G74320,A. thaliana,many-to-one
Potri.001G032300,P. trichocarpa,AT5G07040,A. thaliana,many-to-one
Potri.001G032500,P. trichocarpa,AT5G07050,A. thaliana,many-to-one
Potri.001G032900,P. trichocarpa,AT3G12490,A. thaliana,many-to-one
Potri.001G033200,P. trichocarpa,AT3G12480,A. thaliana,many-to-one
Potri.001G033900,P. trichocarpa,AT2G43190,A. thaliana,one-to-one
Potri.001G034200,P. trichocarpa,AT3G12400,A. thaliana,many-to-many
Potri.001G034200,P. trichocarpa,AT5G13860,A. thaliana,many-to-many
Potri.001G034400,P. trichocarpa,AT3G12390,A. thaliana,many-to-many
Potri.001G034400,P. trichocarpa,AT5G13850,A. thaliana,many-to-many
Potri.001G035700,P. trichocarpa,AT3G54380,A. thaliana,one-to-one
Potri.001G035800,P. trichocarpa,AT3G11450,A. thaliana,many-to-many
Potri.001G035800,P. trichocarpa,AT5G06110,A. thaliana,many-to-many
Potri.001G036000,P. trichocarpa,AT3G11440,A. thaliana,many-to-many
Potri.001G036000,P. trichocarpa,AT5G06100,A. thaliana,many-to-many
Potri.001G036100,P. trichocarpa,AT5G06120,A. thaliana,many-to-one
Potri.001G036400,P. trichocarpa,AT3G54360,A. thaliana,many-to-one
Potri.001G036800,P. trichocarpa,AT5G04940,A. thaliana,many-to-one
Potri.001G036900,P. trichocarpa,AT1G51680,A. thaliana,many-to-many
Potri.001G036900,P. trichocarpa,AT3G21240,A. thaliana,many-to-many
Potri.001G037200,P. trichocarpa,AT3G14250,A. thaliana,many-to-one
Potri.001G037300,P. trichocarpa,AT1G73110,A. thaliana,one-to-one
Potri.001G037700,P. trichocarpa,AT5G57330,A. thaliana,many-to-one
Potri.001G037800,P. trichocarpa,AT3G12660,A. thaliana,one-to-one
Potri.001G037900,P. trichocarpa,AT1G79640,A. thaliana,one-to-one
Potri.001G038000,P. trichocarpa,AT1G16190,A. thaliana,many-to-many
Potri.001G038000,P. trichocarpa,AT1G79650,A. thaliana,many-to-many
Potri.001G038100,P. trichocarpa,AT1G16180,A. thaliana,many-to-one
Potri.001G038200,P. trichocarpa,AT1G16170,A. thaliana,many-to-many
Potri.001G038200,P. trichocarpa,AT1G79660,A. thaliana,many-to-many
Potri.001G038300,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G038400,P. trichocarpa,AT1G16170,A. thaliana,many-to-many
Potri.001G038400,P. trichocarpa,AT1G79660,A. thaliana,many-to-many
Potri.001G038700,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G038900,P. trichocarpa,AT1G16170,A. thaliana,many-to-many
Potri.001G038900,P. trichocarpa,AT1G79660,A. thaliana,many-to-many
Potri.001G039100,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G039200,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G039300,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G039700,P. trichocarpa,AT1G16170,A. thaliana,many-to-many
Potri.001G039700,P. trichocarpa,AT1G79660,A. thaliana,many-to-many
Potri.001G039800,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G039900,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G040000,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G040100,P. trichocarpa,AT1G16080,A. thaliana,many-to-one
Potri.001G040200,P. trichocarpa,AT3G09390,A. thaliana,many-to-many
Potri.001G040200,P. trichocarpa,AT5G02380,A. thaliana,many-to-many
Potri.001G040300,P. trichocarpa,AT1G16170,A. thaliana,many-to-many
Potri.001G040300,P. trichocarpa,AT1G79660,A. thaliana,many-to-many
Potri.001G040500,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G040600,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G040800,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G041000,P. trichocarpa,AT1G16090,A. thaliana,many-to-one
Potri.001G041100,P. trichocarpa,AT1G16260,A. thaliana,many-to-one
Potri.001G041200,P. trichocarpa,AT1G16080,A. thaliana,many-to-one
Potri.001G041300,P. trichocarpa,AT3G09390,A. thaliana,many-to-many
Potri.001G041300,P. trichocarpa,AT5G02380,A. thaliana,many-to-many
Potri.001G041400,P. trichocarpa,AT1G16070,A. thaliana,one-to-one
Potri.001G041500,P. trichocarpa,AT1G16060,A. thaliana,many-to-many
Potri.001G041500,P. trichocarpa,AT1G79700,A. thaliana,many-to-many
Potri.001G041600,P. trichocarpa,AT1G79710,A. thaliana,one-to-one
Potri.001G041700,P. trichocarpa,AT1G79720,A. thaliana,many-to-one
Potri.001G041900,P. trichocarpa,AT1G80940,A. thaliana,many-to-one
Potri.001G042900,P. trichocarpa,AT5G48930,A. thaliana,many-to-one
Potri.001G043100,P. trichocarpa,AT1G80920,A. thaliana,many-to-one
Potri.001G043200,P. trichocarpa,AT1G16010,A. thaliana,many-to-many
Potri.001G043200,P. trichocarpa,AT1G80900,A. thaliana,many-to-many
Potri.001G043300,P. trichocarpa,AT1G16000,A. thaliana,many-to-many
Potri.001G043300,P. trichocarpa,AT1G80890,A. thaliana,many-to-many
Potri.001G043400,P. trichocarpa,AT1G80500,A. thaliana,many-to-one
Potri.001G043500,P. trichocarpa,AT1G80880,A. thaliana,one-to-one
Potri.001G043700,P. trichocarpa,AT1G80870,A. thaliana,many-to-one
Potri.001G043900,P. trichocarpa,AT1G15990,A. thaliana,many-to-many
Potri.001G043900,P. trichocarpa,AT1G19780,A. thaliana,many-to-many
Potri.001G044000,P. trichocarpa,AT1G73060,A. thaliana,one-to-one
Potri.001G044200,P. trichocarpa,AT1G80860,A. thaliana,many-to-one
Potri.001G044300,P. trichocarpa,AT1G15980,A. thaliana,one-to-one
Potri.001G044500,P. trichocarpa,AT1G80840,A. thaliana,many-to-one
Potri.001G044700,P. trichocarpa,AT4G05450,A. thaliana,many-to-many
Potri.001G044700,P. trichocarpa,AT4G21090,A. thaliana,many-to-many
Potri.001G044900,P. trichocarpa,AT1G15960,A. thaliana,one-to-many
Potri.001G044900,P. trichocarpa,AT1G80830,A. thaliana,one-to-many
Potri.001G045100,P. trichocarpa,AT1G15950,A. thaliana,many-to-many
Potri.001G045100,P. trichocarpa,AT1G80820,A. thaliana,many-to-many
Potri.001G045200,P. trichocarpa,AT4G13420,A. thaliana,many-to-one
Potri.001G045500,P. trichocarpa,AT1G15950,A. thaliana,many-to-many
Potri.001G045500,P. trichocarpa,AT1G80820,A. thaliana,many-to-many
Potri.001G046100,P. trichocarpa,AT1G15950,A. thaliana,many-to-many
Potri.001G046100,P. trichocarpa,AT1G80820,A. thaliana,many-to-many
Potri.001G046400,P. trichocarpa,AT1G15950,A. thaliana,many-to-many
Potri.001G046400,P. trichocarpa,AT1G80820,A. thaliana,many-to-many
Potri.001G046500,P. trichocarpa,AT1G15940,A. thaliana,many-to-many
Potri.001G046500,P. trichocarpa,AT1G80810,A. thaliana,many-to-many
Potri.001G046600,P. trichocarpa,AT1G15930,A. thaliana,many-to-many
Potri.001G046600,P. trichocarpa,AT2G32060,A. thaliana,many-to-many
Potri.001G046700,P. trichocarpa,AT1G80780,A. thaliana,many-to-many
Potri.001G046700,P. trichocarpa,AT2G32070,A. thaliana,many-to-many
Potri.001G046800,P. trichocarpa,AT1G80760,A. thaliana,many-to-one
Potri.001G046900,P. trichocarpa,AT1G15900,A. thaliana,one-to-one
Potri.001G047100,P. trichocarpa,AT1G15880,A. thaliana,many-to-one
Potri.001G047200,P. trichocarpa,AT1G76280,A. thaliana,one-to-one
Potri.001G047400,P. trichocarpa,AT1G80750,A. thaliana,many-to-one
Potri.001G047500,P. trichocarpa,AT5G10970,A. thaliana,many-to-many
Potri.001G047500,P. trichocarpa,AT5G25160,A. thaliana,many-to-many
Potri.001G047600,P. trichocarpa,AT1G15870,A. thaliana,one-to-many
Potri.001G047600,P. trichocarpa,AT1G80720,A. thaliana,one-to-many
Potri.001G047700,P. trichocarpa,AT1G80700,A. thaliana,many-to-many
Potri.001G047700,P. trichocarpa,AT1G80980,A. thaliana,many-to-many
Potri.001G047800,P. trichocarpa,AT1G80690,A. thaliana,many-to-one
Potri.001G047900,P. trichocarpa,AT1G15860,A. thaliana,many-to-one
Potri.001G048100,P. trichocarpa,AT1G80670,A. thaliana,many-to-one
Potri.001G048700,P. trichocarpa,AT1G15520,A. thaliana,many-to-one
Potri.001G048800,P. trichocarpa,AT1G15520,A. thaliana,many-to-one
Potri.001G048900,P. trichocarpa,AT1G15520,A. thaliana,many-to-one
Potri.001G049000,P. trichocarpa,AT1G15520,A. thaliana,many-to-one
Potri.001G049400,P. trichocarpa,AT2G32700,A. thaliana,many-to-one
Potri.001G049800,P. trichocarpa,AT3G24160,A. thaliana,many-to-one
Potri.001G049900,P. trichocarpa,AT4G13670,A. thaliana,one-to-one
Potri.001G050000,P. trichocarpa,AT3G24170,A. thaliana,many-to-one
Potri.001G050200,P. trichocarpa,AT2G33100,A. thaliana,many-to-one
Potri.001G050300,P. trichocarpa,AT1G04730,A. thaliana,one-to-one
Potri.001G050400,P. trichocarpa,AT1G04750,A. thaliana,many-to-many
Potri.001G050400,P. trichocarpa,AT2G33120,A. thaliana,many-to-many
Potri.001G050700,P. trichocarpa,AT3G24190,A. thaliana,one-to-one
Potri.001G051200,P. trichocarpa,AT3G24200,A. thaliana,one-to-one
Potri.001G051400,P. trichocarpa,AT1G04780,A. thaliana,many-to-one
Potri.001G051500,P. trichocarpa,AT5G13930,A. thaliana,many-to-one
Potri.001G051600,P. trichocarpa,AT5G13930,A. thaliana,many-to-one
Potri.001G051700,P. trichocarpa,AT3G23940,A. thaliana,many-to-one
